Продукт,Калорийность,Белки,Жиры,Углеводы
"Окунь речной, приготовленный на жару",117 кКал,"24,86 г","1,18 г",0 г
"Окунь фаршированный, по 1-360",130 кКал,"14,9 г","6,1 г","3,9 г"
"Омар северный, приготовленный на пару",89 кКал,19 г,"0,86 г",0 г
"Омар северный, сырой",77 кКал,"16,52 г","0,75 г",0 г
Омуль,152 кКал,"19,2 г","8,3 г",0 г
Осетр в томатном соусе. Консервы,164 кКал,"14,4 г","11,8 г","3,3 г"
"Осетр жареный во фритюре, по 1-372",273 кКал,16 г,"17,4 г","13,2 г"
Осетр каспийский и азово-черноморский,164 кКал,"16,4 г","10,9 г",0 г
Осетр консервированный,163 кКал,"16,4 г","10,6 г",0 г
"Осетр отварной, по 1-344",179 кКал,"17,7 г",12 г,0 г
"Осетр припущенный, по 1-350",179 кКал,"17,8 г","11,9 г",0 г
"Осетр холодного копчения, теша",302 кКал,"17,6 г","25,7 г",0 г
"Осетр, все виды, копченый",173 кКал,"31,2 г","4,4 г",0 г
"Осетр, все виды, приготовленный на жару",135 кКал,"20,7 г","5,18 г",0 г
"Осетр, все виды, сырой",105 кКал,"16,14 г","4,04 г",0 г
"Осетр, сибирский",202 кКал,"15,8 г","15,4 г",0 г
"Осьминог обыкновенный, приготовленный на пару",164 кКал,"29,82 г","2,08 г","4,4 г"
"Осьминог обыкновенный, сырой",82 кКал,"14,91 г","1,04 г","2,2 г"
Ошибень,72 кКал,"16,7 г","0,6 г",0 г
Пагрус,106 кКал,"19,8 г",3 г,0 г
Палтус (Аляска),116 кКал,"20,53 г","2,92 г","1,81 г"
Палтус белокорый,103 кКал,"18,9 г",3 г,0 г
Палтус черный,196 кКал,"12,8 г","16,1 г",0 г
"Палтус, атлантический и тихоокеанский, приготовленный на жару",111 кКал,"22,54 г","1,61 г",0 г
"Палтус, атлантический и тихоокеанский, сырой",91 кКал,"18,56 г","1,33 г",0 г
"Палтус, приготовленный (Аляска)",113 кКал,"22,13 г","2,73 г",0 г
"Палтус, черный, приготовленный на жару",239 кКал,"18,42 г","17,74 г",0 г
"Палтус, черный, сырой",186 кКал,"14,37 г","13,84 г",0 г
"Паста ""Океан""",92 кКал,"13,6 г","4,2 г",0 г
Пеламида,217 кКал,"22,4 г","14,2 г",0 г
"Песчанка радужная (корюшка американская), приготовленная на жару",124 кКал,"22,6 г","3,1 г",0 г
"Песчанка радужная (корюшка американская), сырая",97 кКал,"17,63 г","2,42 г",0 г
