Продукт,Калорийность,Белки,Жиры,Углеводы
        "Calories": "170 кКал",
        "Proteins": "38 г",
        "Fats": "2 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Колбаса Балыковая [Черкизово]",
        "Calories": "250 кКал",
        "Proteins": "17 г",
        "Fats": "20 г",
        "Urglevodi": "0,5 г"
    },
    {
        "Title": "Колбаса Брауншвейгская [Черкизово]",
        "Calories": "464 кКал",
        "Proteins": "24 г",
        "Fats": "40 г",
        "Urglevodi": "1 г"
    },
    {
        "Title": "Колбаса Вареная Докторская [Черкизово]",
        "Calories": "240 кКал",
        "Proteins": "12 г",
        "Fats": "20 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Колбаса Варёная по-Черкизовски [Черкизово]",
        "Calories": "199 кКал",
        "Proteins": "12 г",
        "Fats": "15 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Колбаса Вареная Русская [Черкизово]",
        "Calories": "149 кКал",
        "Proteins": "10 г",
        "Fats": "9 г",
        "Urglevodi": "7 г"
    },
    {
        "Title": "Колбаса Вареная Фермерская [Черкизово]",
        "Calories": "233 кКал",
        "Proteins": "10 г",
        "Fats": "19 г",
        "Urglevodi": "5,5 г"
    },
    {
        "Title": "Колбаса Варёно Копченая Сервелат Столичный [Черкизово]",
        "Calories": "382 кКал",
        "Proteins": "12 г",
        "Fats": "34 г",
        "Urglevodi": "7 г"
    },
    {
        "Title": "Колбаса Варено-Копченая Астория [Черкизово]",
        "Calories": "271 кКал",
        "Proteins": "14 г",
        "Fats": "23 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Колбаса Ветчинно-Рубленая из Индейки [Черкизово]",
        "Calories": "190 кКал",
        "Proteins": "15 г",
        "Fats": "12 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Докторская [Черкизово]",
        "Calories": "198 кКал",
        "Proteins": "11 г",
        "Fats": "14 г",
        "Urglevodi": "7 г"
    },
    {
        "Title": "Колбаса Имперская [Черкизово]",
        "Calories": "321 кКал",
        "Proteins": "15 г",
        "Fats": "29 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Колбаса Краковская Традиционная [Черкизово]",
        "Calories": "343 кКал",
        "Proteins": "15 г",
        "Fats": "27 г",
        "Urglevodi": "10 г"
    },
    {
        "Title": "Колбаса Ливерная Украинская с Печенью [Черкизово]",
        "Calories": "285 кКал",
        "Proteins": "11 г",
        "Fats": "21 г",
        "Urglevodi": "13 г"
    },
    {
        "Title": "Колбаса Московская [Черкизово]",
        "Calories": "419 кКал",
        "Proteins": "17 г",
        "Fats": "39 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Колбаса Онежская [Черкизово]",
        "Calories": "450 кКал",
        "Proteins": "22 г",
        "Fats": "38 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Полукопчёная Фермерская [Черкизово]",
        "Calories": "282 кКал",
        "Proteins": "11 г",
        "Fats": "22 г",
        "Urglevodi": "10 г"
    },
    {
        "Title": "Колбаса Праздничная в Специях [Черкизово]",
        "Calories": "511 кКал",
        "Proteins": "26 г",
        "Fats": "43 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Русская [Черкизово]",
        "Calories": "149 кКал",
        "Proteins": "10 г",
        "Fats": "9 г",
        "Urglevodi": "7 г"
    },
    {
        "Title": "Колбаса Русская по-Черкизовски [Черкизово]",
        "Calories": "281 кКал",
        "Proteins": "11 г",
        "Fats": "25 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Колбаса Салями Астория [Черкизово]",
        "Calories": "390 кКал",
        "Proteins": "25 г",
        "Fats": "30 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Свиная [Черкизово]",
        "Calories": "506 кКал",
        "Proteins": "21 г",
        "Fats": "46 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Колбаса Сыровяленая Фелино [Черкизово]",
        "Calories": "542 кКал",
        "Proteins": "23 г",
        "Fats": "50 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Колбаса Сыровяленая Фуэт Экстра [Черкизово]",
        "Calories": "397 кКал",
        "Proteins": "26 г",
        "Fats": "29 г",
        "Urglevodi": "8 г"
    },
    {
        "Title": "Колбаса Сырокопченая Богородская [Черкизово]",
        "Calories": "450 кКал",
        "Proteins": "22 г",
        "Fats": "38 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Сырокопченая Бородинская [Черкизово]",
        "Calories": "450 кКал",
        "Proteins": "22 г",
        "Fats": "38 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Сырокопченая Деликатесная по-Черкизовски [Черкизово]",
        "Calories": "498 кКал",
        "Proteins": "25 г",
        "Fats": "42 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Сырокопченая Кремлевская [Черкизово]",
        "Calories": "445 кКал",
        "Proteins": "24 г",
        "Fats": "37 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Колбаса Сырокопченая Онежская [Черкизово]",
        "Calories": "405 кКал",
        "Proteins": "23 г",
        "Fats": "33 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Колбаса Сырокопченая Посольская [Черкизово]",
        "Calories": "421 кКал",
        "Proteins": "20 г",
        "Fats": "37 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Колбаса Сырокопченая Преображенская [Черкизово]",
        "Calories": "450 кКал",
        "Proteins": "22 г",
        "Fats": "38 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Колбаса Сырокопченая Салямини [Черкизово]",
        "Calories": "450 кКал",
        "Proteins": "23 г",
        "Fats": "38 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Колбаса Сырокопченая Свиная Черкизовская [Черкизово]",
        "Calories": "506 кКал",
        "Proteins": "21 г",
        "Fats": "46 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Колбаски «для Жарки» со Вкусом Сыра [Черкизово]",
        "Calories": "298 кКал",
        "Proteins": "14 г",
        "Fats": "26 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Колбаски Печеночные [Черкизово]",
        "Calories": "260 кКал",
        "Proteins": "11 г",
        "Fats": "20 г",
        "Urglevodi": "9 г"
    },
    {
        "Title": "Колбаски по-Домашнему с Чесноком [Черкизово]",
        "Calories": "306 кКал",
        "Proteins": "14 г",
        "Fats": "26 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Колбаски Рубленые \"для Жарки\" [Черкизово]",
        "Calories": "296 кКал",
        "Proteins": "15 г",
        "Fats": "26 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Колбаски Рубленые из Свинины и Говядины [Черкизово]",
        "Calories": "276 кКал",
        "Proteins": "15 г",
        "Fats": "24 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Корейка [Черкизово]",
        "Calories": "121 кКал",
        "Proteins": "15 г",
        "Fats": "5 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Корейка по-Домашнему [Черкизово]",
        "Calories": "196 кКал",
        "Proteins": "13 г",
        "Fats": "16 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Корейка по-Черкизовски [Черкизово]",
        "Calories": "151 кКал",
        "Proteins": "17 г",
        "Fats": "7 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Корейка Столичная [Черкизово]",
        "Calories": "214 кКал",
        "Proteins": "13 г",
        "Fats": "18 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Корейка Фермерская [Черкизово]",
        "Calories": "121 кКал",
        "Proteins": "15 г",
        "Fats": "5 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Котлета на Косточке Свиная [Черкизово]",
        "Calories": "258 кКал",
        "Proteins": "15 г",
        "Fats": "22 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Котлеты Домашние [Черкизово]",
        "Calories": "281 кКал",
        "Proteins": "14 г",
        "Fats": "25 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Котлеты из Говядины Охлажденные [Черкизово]",
        "Calories": "144 кКал",
        "Proteins": "17 г",
        "Fats": "8 г",
        "Urglevodi": "1 г"
    },
    {
        "Title": "Котлеты Рубленые из Говядины [Черкизово]",
        "Calories": "330 кКал",
        "Proteins": "15 г",
        "Fats": "30 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Котлеты Рубленые из Свинины и Говядины [Черкизово]",
        "Calories": "348 кКал",
        "Proteins": "15 г",
        "Fats": "32 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Котлеты Рубленые с Белыми Грибами [Черкизово]",
        "Calories": "258 кКал",
        "Proteins": "15 г",
        "Fats": "22 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Котлеты Рубленые с Сыром [Черкизово]",
        "Calories": "335 кКал",
        "Proteins": "14 г",
