Продукт,Калорийность,Белки,Жиры,Углеводы
        "Urglevodi": "3,5 г"
    },
    {
        "Title": "Корнишоны маринованные 3-6 см [Бондюэль]",
        "Calories": "20 кКал",
        "Proteins": "1 г",
        "Fats": "0,2 г",
        "Urglevodi": "3,5 г"
    },
    {
        "Title": "Красная Фасоль [Бондюэль]",
        "Calories": "87 кКал",
        "Proteins": "5,3 г",
        "Fats": "0,2 г",
        "Urglevodi": "16 г"
    },
    {
        "Title": "Красная фасоль в соусе Чили [Бондюэль]",
        "Calories": "125 кКал",
        "Proteins": "5,5 г",
        "Fats": "3 г",
        "Urglevodi": "19 г"
    },
    {
        "Title": "Красная Фасоль в Томатном Соусе Чили [Бондюэль]",
        "Calories": "124 кКал",
        "Proteins": "5,8 г",
        "Fats": "2,8 г",
        "Urglevodi": "19 г"
    },
    {
        "Title": "Красная Фасоль Консервированная [Бондюэль]",
        "Calories": "87 кКал",
        "Proteins": "5,3 г",
        "Fats": "0,2 г",
        "Urglevodi": "16 г"
    },
    {
        "Title": "Красная Фасоль с Кукурузой в Мексиканском Соусе [Бондюэль]",
        "Calories": "107 кКал",
        "Proteins": "4 г",
        "Fats": "2,8 г",
        "Urglevodi": "14,7 г"
    },
    {
        "Title": "Кукуруза [Бондюэль]",
        "Calories": "58 кКал",
        "Proteins": "2,9 г",
        "Fats": "0,6 г",
        "Urglevodi": "9,9 г"
    },
    {
        "Title": "Кукуруза золотистая [Бондюэль]",
        "Calories": "96 кКал",
        "Proteins": "3,2 г",
        "Fats": "1 г",
        "Urglevodi": "18,6 г"
    },
    {
        "Title": "Кукуруза Консервированная [Бондюэль]",
        "Calories": "112 кКал",
        "Proteins": "3 г",
        "Fats": "1,3 г",
        "Urglevodi": "20,5 г"
    },
    {
        "Title": "Кукуруза на Пару [Бондюэль]",
        "Calories": "80 кКал",
        "Proteins": "2,9 г",
        "Fats": "1,9 г",
        "Urglevodi": "10,8 г"
    },
    {
        "Title": "Кукуруза Натурально Сладкая [Бондюэль]",
        "Calories": "80 кКал",
        "Proteins": "2,9 г",
        "Fats": "1,9 г",
        "Urglevodi": "10,8 г"
    },
    {
        "Title": "Кукуруза Сладкая [Бондюэль]",
        "Calories": "58 кКал",
        "Proteins": "2,9 г",
        "Fats": "0,6 г",
        "Urglevodi": "9,9 г"
    },
    {
        "Title": "Кукуруза сладкая в зёрнах [Бондюэль]",
        "Calories": "93 кКал",
        "Proteins": "3,3 г",
        "Fats": "2,3 г",
        "Urglevodi": "14,7 г"
    },
    {
        "Title": "Кукуруза сладкая в зернах в вакуумной упаковке [Бондюэль]",
        "Calories": "115 кКал",
        "Proteins": "3,9 г",
        "Fats": "1,3 г",
        "Urglevodi": "22 г"
    },
    {
        "Title": "Кукуруза сладкая в початках [Бондюэль]",
        "Calories": "101 кКал",
        "Proteins": "3,5 г",
        "Fats": "2,8 г",
        "Urglevodi": "15,6 г"
    },
    {
        "Title": "Лечо [Бондюэль]",
        "Calories": "65 кКал",
        "Proteins": "0 г",
        "Fats": "0 г",
        "Urglevodi": "16,6 г"
    },
    {
        "Title": "Лечо в томатном соусе замороженное [Бондюэль]",
        "Calories": "35 кКал",
        "Proteins": "1,3 г",
        "Fats": "0,9 г",
        "Urglevodi": "5,4 г"
    },
    {
        "Title": "Маслины без Косточки [Бондюэль]",
        "Calories": "115 кКал",
        "Proteins": "0,8 г",
        "Fats": "10,7 г",
        "Urglevodi": "6,3 г"
    },
    {
        "Title": "Маслины с косточкой / без косточки [Бондюэль]",
        "Calories": "115 кКал",
        "Proteins": "0,8 г",
        "Fats": "10,7 г",
        "Urglevodi": "6,3 г"
    },
    {
        "Title": "Мексика Микс [Бондюэль]",
        "Calories": "49 кКал",
        "Proteins": "3,1 г",
        "Fats": "0,9 г",
        "Urglevodi": "8,9 г"
    },
    {
        "Title": "Мексиканская Смесь [Бондюэль]",
        "Calories": "49 кКал",
        "Proteins": "3,1 г",
        "Fats": "0,9 г",
        "Urglevodi": "8,9 г"
    },
    {
        "Title": "Мексиканская Смесь для Жарки [Бондюэль]",
        "Calories": "75 кКал",
        "Proteins": "3,5 г",
        "Fats": "0,5 г",
        "Urglevodi": "14 г"
    },
    {
        "Title": "Молодая Кукуруза [Бондюэль]",
        "Calories": "70 кКал",
        "Proteins": "2,6 г",
        "Fats": "1 г",
        "Urglevodi": "12,6 г"
    },
    {
        "Title": "Молодая Морковь [Бондюэль]",
        "Calories": "23 кКал",
        "Proteins": "0,6 г",
        "Fats": "0,3 г",
        "Urglevodi": "3,4 г"
    },
    {
        "Title": "Молодая морковь Экстра [Бондюэль]",
        "Calories": "25 кКал",
        "Proteins": "0,5 г",
        "Fats": "0,7 г",
        "Urglevodi": "4,2 г"
    },
    {
        "Title": "Молодой Горошек [Бондюэль]",
        "Calories": "72 кКал",
        "Proteins": "5,2 г",
        "Fats": "0,9 г",
        "Urglevodi": "6,8 г"
    },
    {
        "Title": "Морковь молодая целая [Бондюэль]",
        "Calories": "27 кКал",
        "Proteins": "0,8 г",
        "Fats": "0,5 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Морковь Тертая на Пару [Бондюэль]",
        "Calories": "38 кКал",
        "Proteins": "0,6 г",
        "Fats": "0,4 г",
        "Urglevodi": "6,5 г"
    },
    {
        "Title": "Нут на Пару [Бондюэль]",
        "Calories": "130 кКал",
        "Proteins": "3,5 г",
        "Fats": "3,2 г",
        "Urglevodi": "21 г"
    },
    {
        "Title": "Овощи Гриль [Бондюэль]",
        "Calories": "61 кКал",
        "Proteins": "2,2 г",
        "Fats": "2,7 г",
        "Urglevodi": "5,6 г"
    },
    {
        "Title": "Овощи для супа из шампиньонов [Бондюэль]",
        "Calories": "22 кКал",
        "Proteins": "0,3 г",
        "Fats": "0,3 г",
        "Urglevodi": "6 г"
    },
    {
        "Title": "Овощная смесь Весенняя [Бондюэль]",
        "Calories": "35 кКал",
        "Proteins": "2,6 г",
        "Fats": "0,5 г",
