Продукт,Калорийность,Белки,Жиры,Углеводы
        "Calories": "368 кКал",
        "Proteins": "9 г",
        "Fats": "9 г",
        "Urglevodi": "70 г"
    },
    {
        "Title": "Easy Смузи [Пятерочка]",
        "Calories": "50 кКал",
        "Proteins": "0,6 г",
        "Fats": "0 г",
        "Urglevodi": "12 г"
    },
    {
        "Title": "Energy To Go [Пятерочка]",
        "Calories": "4 кКал",
        "Proteins": "0 г",
        "Fats": "0 г",
        "Urglevodi": "0,5 г"
    },
    {
        "Title": "Immuno Lakto Драконий Фрукт [Пятерочка]",
        "Calories": "88 кКал",
        "Proteins": "2,6 г",
        "Fats": "2,5 г",
        "Urglevodi": "13,9 г"
    },
    {
        "Title": "Jake Vitamincandy [Пятерочка]",
        "Calories": "245 кКал",
        "Proteins": "0,5 г",
        "Fats": "0,7 г",
        "Urglevodi": "88,5 г"
    },
    {
        "Title": "Kids Chocolate [Пятерочка]",
        "Calories": "560 кКал",
        "Proteins": "4,6 г",
        "Fats": "36,5 г",
        "Urglevodi": "53,4 г"
    },
    {
        "Title": "Koukou Roukou [Пятерочка]",
        "Calories": "533 кКал",
        "Proteins": "2,8 г",
        "Fats": "31 г",
        "Urglevodi": "60 г"
    },
    {
        "Title": "Абрикос [Пятерочка]",
        "Calories": "44 кКал",
        "Proteins": "0,9 г",
        "Fats": "0,1 г",
        "Urglevodi": "9 г"
    },
    {
        "Title": "Авокадо [Пятерочка]",
        "Calories": "212 кКал",
        "Proteins": "2 г",
        "Fats": "20 г",
        "Urglevodi": "6 г"
    },
    {
        "Title": "Апельсин [Пятерочка]",
        "Calories": "36 кКал",
        "Proteins": "0,9 г",
        "Fats": "0,2 г",
        "Urglevodi": "8,1 г"
    },
    {
        "Title": "Арахис [Пятерочка]",
        "Calories": "610 кКал",
        "Proteins": "30 г",
        "Fats": "50 г",
        "Urglevodi": "10 г"
    },
    {
        "Title": "Арахис Жареный Солёный [Пятерочка]",
        "Calories": "608 кКал",
        "Proteins": "26 г",
        "Fats": "50 г",
        "Urglevodi": "13,4 г"
    },
    {
        "Title": "Багет Барра [Пятерочка]",
        "Calories": "288 кКал",
        "Proteins": "10,9 г",
        "Fats": "1,2 г",
        "Urglevodi": "57 г"
    },
    {
        "Title": "Багет Пшенично-Ржаной [Пятерочка]",
        "Calories": "278 кКал",
        "Proteins": "9,3 г",
        "Fats": "5,9 г",
        "Urglevodi": "46,1 г"
    },
    {
        "Title": "Багет Суворовский [Пятерочка]",
        "Calories": "226 кКал",
        "Proteins": "13 г",
        "Fats": "3,5 г",
        "Urglevodi": "36 г"
    },
    {
        "Title": "Багет Традиционный [Пятерочка]",
        "Calories": "267 кКал",
        "Proteins": "8,4 г",
        "Fats": "1,2 г",
        "Urglevodi": "54,3 г"
    },
    {
        "Title": "Багет Французский [Пятерочка]",
        "Calories": "272 кКал",
        "Proteins": "8,3 г",
        "Fats": "2,1 г",
        "Urglevodi": "54,9 г"
    },
    {
        "Title": "Банан [Пятерочка]",
        "Calories": "89 кКал",
