Продукт,Калорийность,Белки,Жиры,Углеводы
Груши Пакхам [Ашан],42 кКал,"0,7 г","0,2 г","10,9 г"
Гуляш из Говядины [Ашан],335 кКал,"13,7 г",1 г,"67,7 г"
Гуляш из Говядины Фермерский [Ашан],220 кКал,14 г,18 г,0 г
"Гуляш из Свинины ""Фермерский"" [Ашан]",230 кКал,12 г,20 г,0 г
Гуляш из Телятины [Ашан],100 кКал,"19,5 г","2,5 г",0 г
Декор из Шоколада [Ашан],513 кКал,7 г,"27,6 г","55,5 г"
Дениш с Мясной Начинкой [Ашан],340 кКал,9 г,20 г,37 г
Десерт Ванильный [Ашан],179 кКал,"4,5 г","9,6 г","18,7 г"
Десерт из Яблок с Бананами [Ашан],44 кКал,0 г,0 г,11 г
Десерт Кокосовый [Ашан],186 кКал,"3,9 г","9,2 г","21,9 г"
Десерт со Вкусом Ванили [Ашан],102 кКал,"2,5 г","0,9 г","21,1 г"
Десерт Фруктовый Яблоко-Клубника [Ашан],69 кКал,"0,5 г","0,5 г",14 г
Десерт Шоколадный [Ашан],173 кКал,"4,7 г","9,8 г","16,5 г"
Десерт Яблочно-Банановый [Ашан],100 кКал,"0,5 г",0 г,25 г
Джем Апельсиновый [Ашан],247 кКал,"0,5 г","0,5 г","59,6 г"
Джем Клубничный [Ашан],240 кКал,0 г,0 г,60 г
Джем Малина [Ашан],240 кКал,0 г,0 г,60 г
Дижонская Горчица [Ашан],152 кКал,"7,5 г","11,5 г","3,6 г"
Дижонская Горчица с Уксусом [Ашан],149 кКал,"7,2 г","11,5 г","3,2 г"
Дикий Рис [Ашан],335 кКал,"13,7 г",1 г,"67,7 г"
Дикий Рис Цицания [Ашан],350 кКал,13 г,1 г,72 г
Донат с Шоколадной Глазурью [Ашан],441 кКал,"6,7 г",28 г,41 г
Донат с Шоколадной Начинкой [Ашан],463 кКал,"5,9 г",29 г,43 г
Донат с Ягодной Начинкой [Ашан],420 кКал,4 г,25 г,48 г
Донат Тутти Фрутти [Ашан],311 кКал,7 г,12 г,47 г
Дорадо [Ашан],96 кКал,"19,7 г","1,9 г",0 г
Драники из Свеклы [Ашан],241 кКал,"4,8 г","13,3 г","25,6 г"
Драники Картофельные [Ашан],184 кКал,"2,6 г","10,4 г","19,9 г"
Дыня Тайская Сушеная [Ашан],341 кКал,7 г,10 г,82 г
Европейский Гарнир [Ашан],28 кКал,2 г,"0,3 г","3,2 г"
Ежевика Замороженная [Ашан],30 кКал,"1,5 г","0,5 г","4,5 г"
